Brand,Processor,RAM (GB),Storage (GB),GPU,Screen Size (inches),Battery Life (hours),Price (INR)
Asus,Ryzen 7,4,2048,RTX 4090,15.6,11,143000
Apple,Intel i7,16,1024,RTX 4080,14.0,5,172000
Dell,Ryzen 3,4,256,RTX 4060,15.6,8,63000
Acer,Ryzen 7,16,2048,RTX 4070,16.0,11,157000
Dell,Intel i3,16,2048,GTX 1650,15.6,6,112000
HP,Ryzen 7,16,512,RTX 4090,15.6,6,137000
HP,Intel i7,4,512,Integrated,17.0,8,73000
Acer,Intel i7,16,512,GTX 1650,17.0,11,112000
MSI,Ryzen 3,4,2048,RTX 4090,15.6,6,113000
Acer,Ryzen 9,16,1024,GTX 1650,17.0,4,142000
Acer,Ryzen 5,8,1024,Integrated,16.0,5,76000
Apple,Intel i3,4,256,RTX 3050,16.0,4,88000
Lenovo,Intel i7,32,256,RTX 4060,13.0,8,149000
Dell,Ryzen 7,4,2048,RTX 4060,17.0,8,128000
HP,Ryzen 7,32,512,RTX 4080,16.0,4,164000
Acer,Ryzen 9,32,1024,RTX 4090,15.6,4,199000
Lenovo,Ryzen 9,32,2048,Integrated,17.0,6,179000
HP,Ryzen 9,4,1024,RTX 4060,17.0,7,128000
Asus,Ryzen 7,4,1024,RTX 4070,17.0,8,113000
MSI,Ryzen 7,4,512,GTX 1650,17.0,8,88000
HP,Ryzen 5,32,512,RTX 4060,13.0,9,139000
Lenovo,Ryzen 3,4,256,Integrated,16.0,4,38000
Dell,Intel i9,4,256,GTX 1650,14.0,9,103000
Asus,Ryzen 9,4,256,RTX 4090,14.0,4,128000
Asus,Intel i9,8,512,RTX 3050,13.0,9,121000
HP,Ryzen 7,32,2048,RTX 4090,13.0,4,199000
Asus,Ryzen 9,32,1024,RTX 4060,14.0,11,184000
Acer,Ryzen 3,4,256,GTX 1650,14.0,7,53000
Apple,Intel i7,8,1024,RTX 4070,17.0,5,151000
Acer,Ryzen 7,4,2048,RTX 4070,17.0,10,133000
HP,Ryzen 7,16,512,RTX 4060,17.0,10,122000
Lenovo,Intel i7,16,1024,RTX 4090,15.6,5,147000
Acer,Intel i5,32,512,RTX 4070,17.0,7,144000
Apple,Ryzen 3,16,2048,RTX 4090,16.0,5,167000
Apple,Ryzen 3,16,2048,GTX 1650,13.0,11,142000
Dell,Intel i7,4,256,RTX 4080,17.0,8,103000
MSI,Intel i5,16,512,RTX 4060,17.0,7,107000
Asus,Intel i3,4,256,GTX 1650,13.0,12,53000
HP,Ryzen 5,16,256,RTX 3050,17.0,10,97000
Apple,Ryzen 7,8,256,RTX 3050,13.0,12,126000
Acer,Intel i5,32,1024,RTX 3050,17.0,10,144000
Apple,Intel i5,8,512,RTX 4080,17.0,9,131000
Apple,Ryzen 9,4,1024,RTX 4080,14.0,5,168000
MSI,Ryzen 7,32,256,RTX 4080,14.0,8,159000
MSI,Ryzen 7,32,2048,RTX 4070,15.6,10,189000
Asus,Intel i5,8,512,GTX 1650,17.0,5,81000
Asus,Ryzen 9,4,2048,RTX 4080,15.6,11,158000
Lenovo,Ryzen 7,8,1024,RTX 4070,15.6,5,121000
Apple,Intel i5,16,256,Integrated,14.0,5,107000
Dell,Intel i3,16,512,RTX 4070,17.0,12,97000
Dell,Ryzen 7,4,2048,RTX 4070,14.0,7,133000
MSI,Ryzen 5,8,512,RTX 4090,17.0,9,106000
Apple,Intel i5,4,512,Integrated,14.0,12,88000
HP,Intel i9,16,512,RTX 4060,17.0,7,142000
Lenovo,Intel i7,8,1024,GTX 1650,15.6,11,106000
HP,Intel i7,32,2048,RTX 3050,15.6,12,179000
Dell,Intel i5,4,512,RTX 3050,16.0,6,78000
Acer,Intel i7,32,256,GTX 1650,15.6,9,139000
Asus,Ryzen 7,16,2048,RTX 3050,15.6,11,147000
MSI,Ryzen 5,32,2048,RTX 4060,16.0,6,169000
Lenovo,Ryzen 5,4,256,RTX 4090,14.0,12,93000
Apple,Intel i9,8,256,Integrated,13.0,12,126000
Apple,Ryzen 9,16,2048,RTX 3050,15.6,11,197000
Apple,Intel i3,16,256,GTX 1650,17.0,6,107000
Dell,Intel i5,16,1024,GTX 1650,17.0,5,107000
Apple,Ryzen 7,8,512,Integrated,15.6,8,111000
Acer,Ryzen 5,32,1024,GTX 1650,16.0,4,139000
Apple,Ryzen 5,8,256,RTX 4070,17.0,10,121000
Acer,Ryzen 5,8,512,RTX 3050,15.6,11,86000
Lenovo,Ryzen 9,16,1024,RTX 4090,15.6,9,167000
MSI,Intel i3,32,256,RTX 4090,16.0,11,134000
MSI,Intel i9,4,2048,RTX 4090,17.0,10,163000
HP,Ryzen 7,8,1024,RTX 4070,15.6,11,121000
Lenovo,Intel i9,4,512,RTX 3050,16.0,9,113000
Acer,Intel i7,16,512,RTX 4070,16.0,9,127000
HP,Ryzen 7,8,512,RTX 4080,15.6,9,116000
HP,Intel i7,4,1024,RTX 4070,17.0,10,113000
Lenovo,Ryzen 9,8,1024,RTX 4070,15.6,5,141000
Asus,Intel i5,4,2048,RTX 4060,13.0,7,113000
MSI,Intel i9,8,2048,GTX 1650,17.0,9,146000
HP,Ryzen 9,32,512,RTX 4070,17.0,5,179000
Dell,Intel i3,4,512,RTX 4080,17.0,5,78000
Acer,Ryzen 7,32,512,Integrated,16.0,4,129000
Apple,Intel i9,32,512,Integrated,17.0,10,179000
MSI,Intel i9,16,2048,RTX 4070,14.0,12,177000
Asus,Intel i5,4,256,RTX 4080,15.6,5,88000
Apple,Intel i3,16,512,GTX 1650,16.0,8,112000
MSI,Ryzen 3,4,256,GTX 1650,16.0,8,53000
Apple,Intel i9,4,512,RTX 3050,14.0,9,143000
Acer,Intel i7,4,2048,RTX 3050,15.6,5,123000
Apple,Intel i5,32,1024,GTX 1650,15.6,7,169000
Asus,Ryzen 5,8,256,Integrated,13.0,11,61000
Asus,Ryzen 3,16,256,RTX 4070,17.0,11,92000
Dell,Intel i9,4,256,RTX 4060,14.0,6,113000
MSI,Ryzen 5,16,512,GTX 1650,15.6,8,97000
Asus,Ryzen 9,16,256,RTX 3050,14.0,8,132000
Apple,Ryzen 5,4,512,RTX 4090,16.0,10,128000
Lenovo,Intel i9,4,512,RTX 4090,16.0,11,133000
MSI,Ryzen 3,16,2048,RTX 4080,16.0,7,132000
HP,Intel i9,8,256,RTX 3050,17.0,12,116000
Acer,Ryzen 7,4,1024,Integrated,13.0,8,83000
Lenovo,Intel i9,32,512,RTX 4070,17.0,11,179000
Dell,Intel i7,8,1024,RTX 4070,17.0,4,121000
Acer,Ryzen 3,32,1024,RTX 4070,17.0,4,139000
Apple,Intel i7,16,1024,RTX 4060,15.6,12,162000
Lenovo,Intel i3,8,1024,Integrated,15.6,5,61000
Lenovo,Ryzen 3,4,512,Integrated,14.0,7,43000
MSI,Intel i5,32,2048,RTX 3050,14.0,11,164000
Asus,Intel i5,4,512,RTX 4090,16.0,5,98000
MSI,Intel i7,8,512,Integrated,17.0,9,81000
Apple,Intel i5,32,1024,RTX 4080,14.0,5,189000
Lenovo,Intel i7,4,256,GTX 1650,13.0,6,83000
HP,Intel i9,4,256,RTX 4090,15.6,7,128000
MSI,Intel i3,32,2048,GTX 1650,14.0,10,144000
Lenovo,Intel i9,16,256,RTX 4080,15.6,11,147000
HP,Ryzen 7,4,2048,RTX 4080,14.0,5,138000
Acer,Ryzen 3,16,2048,RTX 4060,14.0,10,122000
Acer,Ryzen 7,16,2048,RTX 3050,16.0,4,147000
Lenovo,Intel i5,16,2048,RTX 4070,16.0,5,142000
Asus,Intel i7,8,512,Integrated,17.0,6,81000
HP,Ryzen 9,4,1024,Integrated,17.0,5,103000
Apple,Intel i3,16,2048,RTX 3050,13.0,11,147000
MSI,Ryzen 3,8,512,RTX 4090,15.6,7,91000
MSI,Ryzen 3,8,2048,Integrated,13.0,9,81000
MSI,Ryzen 3,4,256,RTX 4060,17.0,9,63000
Dell,Ryzen 5,16,512,RTX 4080,17.0,6,117000
MSI,Ryzen 7,8,2048,GTX 1650,17.0,8,126000
Dell,Intel i3,4,1024,RTX 4080,16.0,9,88000
HP,Intel i5,4,512,GTX 1650,14.0,12,73000
HP,Intel i9,8,256,RTX 4070,15.6,10,126000
Asus,Ryzen 9,4,1024,RTX 4070,16.0,10,133000
Dell,Intel i5,32,2048,RTX 3050,17.0,9,164000
Lenovo,Intel i7,16,512,RTX 4060,15.6,11,122000
HP,Intel i7,4,1024,RTX 4060,13.0,9,108000
HP,Intel i9,4,512,RTX 4070,14.0,12,123000
HP,Intel i5,32,1024,RTX 3050,15.6,8,144000
Lenovo,Intel i5,32,2048,RTX 4080,16.0,12,179000
Apple,Intel i9,32,512,RTX 4060,14.0,7,204000
MSI,Intel i5,8,256,RTX 4060,13.0,6,86000
Lenovo,Intel i5,16,256,RTX 4080,15.6,9,112000
MSI,Intel i9,32,1024,Integrated,17.0,12,159000
MSI,Intel i7,4,512,RTX 4060,16.0,10,98000
Apple,Ryzen 7,8,512,RTX 4090,16.0,5,151000
Apple,Ryzen 5,8,512,RTX 4060,16.0,8,121000
HP,Ryzen 7,32,256,RTX 4090,14.0,11,164000
Dell,Ryzen 9,32,512,Integrated,14.0,6,149000
HP,Intel i9,4,512,RTX 4070,13.0,6,123000
Lenovo,Intel i5,8,256,RTX 4070,15.6,10,91000
HP,Ryzen 7,4,256,RTX 4070,16.0,12,98000
Lenovo,Intel i9,4,512,Integrated,14.0,8,93000
Asus,Intel i7,4,2048,RTX 4070,16.0,7,133000
Asus,Ryzen 5,8,2048,RTX 4060,17.0,11,121000
Acer,Ryzen 3,32,512,RTX 3050,13.0,8,119000
Asus,Ryzen 7,4,512,RTX 4080,16.0,10,108000
MSI,Intel i7,32,2048,RTX 4070,13.0,5,189000
MSI,Intel i5,4,512,RTX 4090,14.0,12,98000
Lenovo,Intel i5,32,2048,RTX 4060,14.0,4,169000
Lenovo,Intel i7,4,256,RTX 4080,16.0,11,103000
Apple,Intel i7,8,512,RTX 4060,16.0,8,136000
MSI,Intel i9,4,512,RTX 4080,16.0,5,128000
Acer,Ryzen 5,16,1024,RTX 4090,13.0,7,132000
HP,Ryzen 3,8,1024,RTX 4090,13.0,7,101000
HP,Intel i9,16,1024,RTX 3050,17.0,4,147000
Dell,Intel i9,16,256,GTX 1650,13.0,7,127000
Lenovo,Intel i9,8,2048,RTX 4060,14.0,12,156000
MSI,Ryzen 7,16,512,RTX 4080,17.0,6,132000
HP,Intel i3,16,256,RTX 4090,17.0,7,102000
Acer,Intel i3,8,1024,RTX 3050,17.0,12,81000
Asus,Intel i7,16,256,RTX 3050,15.6,6,112000
Apple,Intel i7,32,512,RTX 4070,17.0,11,189000
Apple,Ryzen 5,32,1024,RTX 4090,15.6,7,194000
Acer,Intel i7,32,1024,Integrated,14.0,12,139000
Acer,Intel i7,32,2048,RTX 4070,14.0,12,189000
Apple,Intel i3,16,256,GTX 1650,15.6,11,107000
Acer,Ryzen 9,8,256,RTX 4080,15.6,6,131000
Acer,Intel i7,8,256,RTX 4070,13.0,4,106000
Dell,Intel i7,4,2048,RTX 4090,15.6,11,143000
MSI,Intel i9,16,256,RTX 3050,17.0,5,132000
HP,Intel i9,8,256,RTX 4090,16.0,6,136000
Apple,Intel i7,4,512,GTX 1650,17.0,6,118000
Dell,Ryzen 9,16,1024,RTX 4070,16.0,7,157000
Acer,Intel i7,8,1024,RTX 4080,14.0,12,126000
Acer,Intel i5,16,1024,RTX 4090,17.0,12,132000
MSI,Ryzen 7,8,1024,RTX 4070,13.0,9,121000
Acer,Intel i5,32,2048,GTX 1650,17.0,8,159000
HP,Intel i7,4,1024,RTX 4090,13.0,4,123000
Lenovo,Ryzen 7,4,256,RTX 4090,13.0,11,108000
Lenovo,Ryzen 9,16,256,Integrated,14.0,12,112000
Acer,Ryzen 9,8,512,RTX 4060,17.0,6,126000
Asus,Ryzen 3,32,1024,RTX 4060,17.0,6,134000
HP,Intel i5,4,256,GTX 1650,13.0,8,68000
Asus,Intel i3,32,2048,RTX 4090,15.6,12,169000
HP,Ryzen 7,4,512,GTX 1650,14.0,5,88000
Dell,Ryzen 9,4,512,RTX 4080,14.0,4,128000
Acer,Ryzen 9,4,512,GTX 1650,16.0,8,108000
MSI,Ryzen 7,8,1024,RTX 4080,13.0,6,126000
Lenovo,Ryzen 9,8,512,GTX 1650,16.0,6,116000
Apple,Intel i5,32,256,GTX 1650,16.0,12,154000
Asus,Ryzen 9,32,512,RTX 4070,15.6,11,179000
MSI,Intel i5,32,2048,RTX 4060,15.6,4,169000
Dell,Intel i3,4,512,Integrated,16.0,4,43000
Acer,Ryzen 9,4,256,RTX 4090,15.6,11,128000
Lenovo,Ryzen 7,16,1024,RTX 4090,16.0,8,147000
Asus,Ryzen 5,16,256,Integrated,14.0,9,77000
HP,Ryzen 3,4,2048,Integrated,15.6,12,73000
Lenovo,Intel i9,16,2048,RTX 4070,14.0,7,177000
Acer,Intel i3,16,2048,GTX 1650,17.0,4,112000
MSI,Ryzen 3,32,512,RTX 4080,14.0,7,134000
MSI,Intel i3,32,256,RTX 4060,14.0,5,119000
Dell,Intel i5,32,512,Integrated,14.0,12,114000
Apple,Ryzen 7,16,512,Integrated,15.6,12,127000
Apple,Ryzen 7,32,2048,GTX 1650,15.6,7,204000
Dell,Intel i3,4,1024,RTX 3050,13.0,4,73000
Acer,Intel i5,8,512,GTX 1650,13.0,4,81000
Dell,Ryzen 7,32,512,GTX 1650,14.0,7,144000
Apple,Ryzen 3,32,512,RTX 3050,15.6,8,149000
Asus,Ryzen 9,16,256,RTX 3050,17.0,4,132000
HP,Intel i9,8,512,RTX 4060,15.6,7,126000
Asus,Ryzen 5,8,2048,RTX 4090,13.0,10,136000
Asus,Intel i3,16,1024,RTX 3050,15.6,10,97000
Asus,Ryzen 7,16,256,RTX 3050,13.0,10,112000
MSI,Ryzen 5,32,256,Integrated,17.0,12,109000
MSI,Ryzen 3,8,2048,RTX 4060,16.0,8,106000
Asus,Ryzen 5,8,256,RTX 4090,16.0,7,101000
Dell,Intel i5,16,1024,GTX 1650,15.6,11,107000
HP,Ryzen 9,8,512,GTX 1650,16.0,9,116000
Lenovo,Ryzen 9,4,2048,RTX 4090,17.0,6,163000
HP,Intel i5,8,256,RTX 4070,13.0,10,91000
MSI,Ryzen 3,16,256,RTX 4060,17.0,4,87000
Apple,Intel i9,32,1024,GTX 1650,13.0,6,204000
Acer,Ryzen 9,8,256,RTX 4090,16.0,4,136000
HP,Intel i5,16,512,RTX 4090,15.6,12,122000
Dell,Ryzen 7,32,1024,RTX 4060,14.0,7,164000
MSI,Ryzen 7,16,2048,GTX 1650,17.0,4,142000
Dell,Ryzen 5,16,2048,RTX 4060,15.6,4,137000
HP,Ryzen 9,8,256,Integrated,13.0,4,96000
Apple,Ryzen 3,32,1024,RTX 4080,17.0,12,174000
MSI,Ryzen 9,32,256,RTX 4080,17.0,7,179000
Dell,Ryzen 9,16,512,RTX 4080,14.0,11,152000
Acer,Intel i5,16,256,Integrated,13.0,8,77000
Dell,Intel i7,16,256,RTX 4060,16.0,8,117000
Asus,Ryzen 3,32,256,RTX 4080,17.0,4,129000
Apple,Ryzen 9,32,2048,RTX 4080,15.6,4,244000
Lenovo,Ryzen 5,8,512,RTX 4090,14.0,12,106000
HP,Ryzen 5,32,256,Integrated,13.0,5,109000
Lenovo,Intel i3,8,256,GTX 1650,15.6,5,61000
Dell,Ryzen 5,16,512,RTX 3050,15.6,5,102000
Dell,Intel i9,8,2048,GTX 1650,17.0,11,146000
Asus,Intel i5,16,512,RTX 4070,13.0,11,112000
Apple,Intel i3,32,256,RTX 3050,17.0,6,144000
Asus,Ryzen 9,4,2048,RTX 4090,14.0,11,163000
Dell,Intel i3,4,1024,GTX 1650,13.0,9,68000
MSI,Intel i3,8,256,RTX 3050,13.0,5,66000
Dell,Intel i7,4,256,RTX 4080,15.6,5,103000
Dell,Intel i9,4,2048,RTX 4060,14.0,12,148000
Asus,Ryzen 5,16,256,RTX 3050,15.6,12,97000
Dell,Ryzen 7,4,256,RTX 4060,15.6,9,93000
Lenovo,Intel i9,4,2048,RTX 3050,16.0,11,143000
Acer,Intel i5,16,1024,GTX 1650,16.0,9,107000
HP,Intel i5,4,256,GTX 1650,15.6,4,68000
HP,Ryzen 7,4,1024,RTX 4090,13.0,7,123000
Asus,Intel i9,8,512,RTX 4090,16.0,8,141000
HP,Intel i9,8,256,GTX 1650,16.0,5,111000
MSI,Intel i9,4,256,RTX 4070,14.0,11,118000
Apple,Ryzen 3,8,256,RTX 4080,15.6,7,111000
Apple,Ryzen 7,32,2048,RTX 4090,15.6,4,229000
Lenovo,Intel i5,8,2048,GTX 1650,16.0,7,111000
Lenovo,Ryzen 9,16,2048,Integrated,17.0,11,147000
Lenovo,Ryzen 7,8,512,RTX 4070,14.0,6,111000
MSI,Intel i3,32,512,RTX 4080,16.0,12,134000
MSI,Ryzen 9,16,256,RTX 4080,14.0,5,147000
Lenovo,Ryzen 7,4,2048,GTX 1650,15.6,9,118000
Acer,Intel i3,8,256,RTX 4060,15.6,11,71000
MSI,Ryzen 3,8,512,Integrated,14.0,4,51000
MSI,Intel i3,8,512,RTX 4090,15.6,6,91000
Dell,Ryzen 7,8,2048,RTX 3050,14.0,6,131000
Dell,Intel i3,32,512,GTX 1650,16.0,11,114000
MSI,Intel i7,32,2048,RTX 4070,14.0,7,189000
Asus,Intel i3,16,512,RTX 4090,14.0,12,107000
MSI,Intel i9,32,512,RTX 4080,14.0,4,184000
HP,Intel i5,16,2048,RTX 3050,13.0,10,132000
HP,Intel i3,4,256,Integrated,14.0,7,38000
Dell,Intel i5,16,256,RTX 3050,13.0,6,97000
Dell,Intel i7,32,2048,GTX 1650,14.0,9,174000
Dell,Intel i9,16,512,RTX 4090,15.6,6,157000
Apple,Ryzen 5,32,256,RTX 4070,13.0,4,169000
Apple,Intel i3,4,512,RTX 4090,14.0,5,113000
MSI,Intel i7,16,1024,RTX 4060,15.6,10,132000
MSI,Intel i5,16,512,RTX 4070,15.6,10,112000
Apple,Intel i3,4,2048,RTX 3050,14.0,4,123000
Asus,Intel i5,4,512,RTX 3050,17.0,11,78000
Asus,Intel i9,4,512,RTX 4060,14.0,4,118000
Dell,Intel i7,16,1024,Integrated,13.0,5,107000
HP,Ryzen 3,8,256,RTX 4070,13.0,8,76000
Lenovo,Intel i7,32,512,RTX 3050,16.0,6,149000
Lenovo,Ryzen 9,32,256,RTX 3050,15.6,6,164000
Lenovo,Ryzen 5,8,1024,Integrated,13.0,4,76000
MSI,Intel i7,16,2048,GTX 1650,16.0,11,142000
HP,Intel i9,32,2048,RTX 3050,15.6,8,199000
Apple,Ryzen 3,8,512,Integrated,15.6,11,81000
Dell,Ryzen 7,8,2048,RTX 4080,13.0,6,146000
Dell,Intel i9,8,256,RTX 3050,15.6,7,116000
HP,Ryzen 9,8,2048,GTX 1650,15.6,5,146000
Apple,Ryzen 5,4,512,RTX 3050,13.0,11,108000
Acer,Ryzen 9,4,256,RTX 4070,14.0,4,118000
Acer,Ryzen 3,4,1024,RTX 4060,13.0,6,78000
HP,Intel i9,4,512,RTX 4060,17.0,10,118000
Lenovo,Intel i7,8,2048,GTX 1650,13.0,12,126000
Acer,Ryzen 7,4,1024,RTX 4060,15.6,7,108000
Acer,Ryzen 5,4,512,RTX 3050,15.6,9,78000
Asus,Intel i3,32,1024,RTX 4070,13.0,4,139000
MSI,Ryzen 7,16,2048,RTX 4070,14.0,7,157000
Dell,Ryzen 7,16,512,RTX 4090,13.0,10,137000
Lenovo,Intel i5,4,2048,RTX 4070,13.0,7,118000
Dell,Intel i7,4,1024,RTX 4070,13.0,10,113000
Dell,Intel i3,4,1024,RTX 3050,14.0,7,73000
Lenovo,Intel i7,32,1024,GTX 1650,14.0,5,154000
HP,Intel i3,4,256,Integrated,15.6,5,38000
Apple,Intel i3,16,256,RTX 4070,16.0,10,122000
Dell,Intel i7,8,256,GTX 1650,14.0,4,91000
HP,Ryzen 7,8,1024,RTX 4090,17.0,4,131000
Dell,Ryzen 5,16,512,RTX 3050,15.6,5,102000
MSI,Ryzen 7,32,2048,Integrated,16.0,6,159000
Lenovo,Ryzen 7,8,256,RTX 3050,14.0,12,96000
HP,Ryzen 9,4,256,RTX 4080,17.0,5,123000
Lenovo,Intel i7,4,512,RTX 4090,15.6,11,113000
Asus,Ryzen 5,16,1024,RTX 4090,13.0,5,132000
Acer,Ryzen 3,32,1024,RTX 4090,16.0,7,149000
Dell,Intel i5,8,256,RTX 4060,15.6,7,86000
Asus,Intel i9,32,2048,GTX 1650,16.0,8,194000
Lenovo,Intel i5,4,256,Integrated,13.0,8,53000
Asus,Intel i5,4,256,RTX 4090,14.0,10,93000
Lenovo,Ryzen 9,16,1024,GTX 1650,14.0,8,142000
Asus,Intel i7,8,256,Integrated,16.0,7,76000
Lenovo,Intel i9,32,2048,Integrated,14.0,10,179000
Asus,Ryzen 9,8,512,RTX 4060,16.0,7,126000
Acer,Ryzen 9,8,256,RTX 3050,15.6,10,116000
MSI,Intel i9,8,1024,RTX 4070,14.0,7,141000
Asus,Intel i5,4,256,GTX 1650,15.6,11,68000
Apple,Intel i3,32,256,Integrated,16.0,12,124000
HP,Ryzen 5,4,512,RTX 4080,17.0,11,93000
HP,Ryzen 5,32,512,RTX 4090,13.0,9,154000
MSI,Intel i9,4,1024,RTX 3050,15.6,4,123000
Apple,Intel i9,8,512,RTX 4070,16.0,7,161000
Asus,Ryzen 3,8,512,RTX 4070,15.6,8,81000
Dell,Ryzen 3,16,256,RTX 3050,14.0,6,82000
Asus,Ryzen 9,16,512,RTX 3050,14.0,9,137000
Dell,Intel i7,4,1024,Integrated,17.0,6,83000
HP,Ryzen 9,32,2048,RTX 4060,14.0,10,204000
MSI,Ryzen 5,4,256,RTX 4060,14.0,6,78000
Lenovo,Intel i9,4,256,RTX 4090,13.0,8,128000
Lenovo,Intel i3,4,512,RTX 4060,17.0,9,68000
Dell,Ryzen 5,4,2048,RTX 4060,13.0,11,113000
Apple,Ryzen 9,4,2048,RTX 4070,16.0,7,183000
HP,Ryzen 5,32,2048,RTX 3050,14.0,6,164000
Apple,Intel i7,16,1024,RTX 3050,14.0,8,157000
Apple,Intel i3,4,256,RTX 4070,15.6,10,98000
MSI,Ryzen 7,16,1024,Integrated,13.0,12,107000
Lenovo,Ryzen 7,32,256,RTX 4070,16.0,7,154000
Lenovo,Ryzen 9,8,512,RTX 4080,14.0,9,136000
HP,Intel i9,32,512,Integrated,13.0,11,149000
MSI,Ryzen 3,4,256,RTX 4080,16.0,5,73000
Apple,Ryzen 9,16,256,Integrated,17.0,6,142000
Dell,Ryzen 5,32,1024,RTX 4090,14.0,12,164000
HP,Intel i3,8,1024,RTX 4070,16.0,11,91000
MSI,Intel i5,32,256,GTX 1650,17.0,11,124000
Dell,Ryzen 3,16,2048,RTX 4090,14.0,4,137000
Asus,Intel i5,16,256,GTX 1650,13.0,11,92000
Lenovo,Ryzen 3,8,512,RTX 4080,13.0,11,86000
Lenovo,Ryzen 5,32,1024,RTX 3050,15.6,5,144000
Lenovo,Ryzen 9,8,256,RTX 4060,15.6,8,121000
Apple,Intel i7,16,256,RTX 3050,16.0,5,142000
Lenovo,Ryzen 3,4,256,RTX 4090,13.0,7,78000
Lenovo,Ryzen 9,4,1024,RTX 4090,16.0,12,143000
Asus,Ryzen 3,32,2048,GTX 1650,16.0,10,144000
HP,Intel i3,4,256,RTX 4060,16.0,4,63000
MSI,Ryzen 5,4,256,RTX 3050,15.6,12,73000
Asus,Ryzen 3,32,2048,RTX 4090,13.0,7,169000
Dell,Ryzen 3,4,512,GTX 1650,17.0,6,58000
Lenovo,Ryzen 7,4,1024,RTX 4070,16.0,6,113000
Lenovo,Ryzen 9,8,1024,Integrated,15.6,8,111000
Asus,Intel i5,16,1024,RTX 4060,13.0,5,117000
Asus,Ryzen 9,16,512,RTX 4060,16.0,7,142000
Dell,Intel i3,16,512,RTX 3050,16.0,6,87000
Dell,Intel i7,16,1024,Integrated,14.0,12,107000
HP,Ryzen 7,32,512,RTX 4080,17.0,11,164000
Acer,Intel i3,4,512,Integrated,16.0,12,43000
MSI,Intel i9,8,512,RTX 4060,15.6,5,126000
MSI,Ryzen 9,16,512,RTX 3050,13.0,5,137000
Lenovo,Ryzen 7,16,256,RTX 3050,16.0,10,112000
Lenovo,Intel i7,32,1024,GTX 1650,14.0,5,154000
Acer,Intel i3,4,256,Integrated,13.0,9,38000
Asus,Intel i5,32,512,GTX 1650,17.0,5,129000
Dell,Ryzen 3,32,256,RTX 4060,14.0,7,119000
HP,Ryzen 5,8,1024,RTX 4080,13.0,7,111000
Acer,Ryzen 7,8,1024,RTX 4070,15.6,10,121000
Apple,Ryzen 5,16,512,RTX 4070,15.6,12,142000
Asus,Ryzen 7,4,512,RTX 3050,14.0,12,93000
Acer,Ryzen 9,8,256,RTX 4070,13.0,4,126000
Apple,Ryzen 7,8,2048,RTX 4080,15.6,9,176000
Dell,Intel i9,32,512,RTX 4080,13.0,6,184000
MSI,Ryzen 3,8,1024,RTX 3050,17.0,4,81000
Acer,Ryzen 7,4,2048,Integrated,17.0,12,103000
Acer,Ryzen 9,16,2048,RTX 4090,14.0,10,187000
HP,Intel i9,8,256,RTX 4070,17.0,12,126000
Apple,Intel i3,8,512,RTX 3050,17.0,9,101000
Apple,Intel i7,16,1024,GTX 1650,14.0,8,152000
Lenovo,Ryzen 9,16,512,RTX 4080,13.0,5,152000
Dell,Intel i7,32,256,RTX 4060,17.0,8,149000
Lenovo,Intel i7,8,256,RTX 4060,17.0,4,101000
MSI,Intel i9,16,512,RTX 3050,14.0,7,137000
Asus,Ryzen 5,4,256,RTX 4080,14.0,6,88000
Lenovo,Intel i9,8,1024,RTX 4070,14.0,6,141000
Dell,Ryzen 7,8,2048,RTX 4090,13.0,4,151000
HP,Intel i9,32,256,RTX 4060,15.6,12,169000
Dell,Ryzen 3,4,1024,RTX 4070,13.0,10,83000
Acer,Intel i7,16,256,RTX 4090,13.0,6,132000
Dell,Ryzen 7,32,2048,RTX 4080,16.0,4,194000
HP,Intel i5,32,1024,RTX 4060,14.0,8,149000
Acer,Ryzen 3,8,2048,Integrated,13.0,9,81000
Dell,Intel i9,32,2048,RTX 3050,15.6,5,199000
Acer,Intel i5,8,512,Integrated,15.6,9,66000
Acer,Intel i7,32,512,Integrated,17.0,10,129000
HP,Ryzen 3,32,256,RTX 4070,15.6,5,124000
Acer,Ryzen 9,16,2048,RTX 4080,16.0,4,182000
Lenovo,Ryzen 3,4,256,RTX 3050,13.0,6,58000
Dell,Intel i9,4,1024,RTX 4070,13.0,6,133000
Apple,Ryzen 9,8,1024,RTX 4060,15.6,5,166000
HP,Ryzen 9,32,1024,GTX 1650,15.6,7,174000
MSI,Ryzen 9,4,512,RTX 4090,14.0,7,133000
Apple,Ryzen 9,32,1024,GTX 1650,17.0,10,204000
Apple,Ryzen 9,4,2048,GTX 1650,16.0,5,168000
Asus,Ryzen 3,16,512,Integrated,14.0,11,67000
HP,Ryzen 7,8,2048,RTX 4080,16.0,10,146000
MSI,Ryzen 7,4,2048,RTX 4070,16.0,7,133000
Acer,Ryzen 5,16,1024,RTX 4080,17.0,7,127000
Acer,Ryzen 7,4,1024,RTX 3050,13.0,12,103000
Dell,Intel i9,16,256,RTX 4070,15.6,8,142000
Apple,Intel i5,4,2048,RTX 4070,15.6,7,148000
MSI,Intel i7,4,512,RTX 4060,15.6,5,98000
Apple,Intel i9,8,256,RTX 4080,13.0,11,161000
Acer,Intel i7,4,512,GTX 1650,13.0,10,88000
HP,Ryzen 5,32,512,RTX 4070,14.0,7,144000
HP,Intel i9,16,1024,RTX 4070,16.0,10,157000
Acer,Ryzen 9,16,512,RTX 4060,17.0,10,142000
